,species,identifier,primary,mutant,heterologous_expression,KC,KC_SD,vC,vC_SD,S,S_SD,KO,KO_SD,vO,vO_95CI_low,vO_95CI_high,kon_C,kon_O_95CI_low,kon_O_95CI_high,kon_O,kon_O_95CI_low,kon_O_95CI_high,KRuBP,KRuBP_SD,temp_C,pH,isoform,taxonomy,note,short_ref,pmid_or_doi,citation
282,Citrullus lanatus var. lanatus,lanatus_var_lanatus_kin_orr,1,0,False,19.4,1.2,2.5,0.1,107,2.4,510,36,0.615,0.499,0.75,0.129,0.00104,0.00141,0.0012,0.00104,0.00141,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
283,Coffee arabica,arabica_kin_hermida_carrera,1,0,False,11,0.4,2.1,0.2,98.7,3.8,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
284,Cucurbita maxima,maxima_kin_hermida_carrera,1,0,False,9,0.5,2.2,0.2,98.4,0.4,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
285,Deschampsia danthonioides,danthonioides_kin_orr,1,0,False,22.3,1.4,4.5,0.1,108,1.6,580,82,1.09,0.763,1.43,0.202,0.00165,0.00215,0.00187,0.00165,0.00215,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
286,Desmodium cinereum,cinereum_kin_orr,1,0,False,12.8,1,3,0.1,97.5,2,403,39,0.969,0.744,1.25,0.235,0.00205,0.00289,0.00241,0.00205,0.00289,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
287,Desmodium intortum,intortum_kin_orr,1,0,False,14.2,1.7,3.3,0.1,98.7,1.9,394,52,0.924,0.643,1.34,0.232,0.00188,0.00312,0.00235,0.00188,0.00312,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
288,Desmodium psilocarpum,psilocarpum_kin_orr,1,0,False,15.6,0.9,3.6,0.1,95.9,1.7,452,55,1.08,0.804,1.4,0.231,0.00212,0.00276,0.00241,0.00212,0.00276,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
289,Elymus farctus,farctus_kin_orr,1,0,False,19.5,2.7,3.3,0.1,106,1.3,300,84,0.478,0.215,0.825,0.169,0.00125,0.00219,0.00159,0.00125,0.00219,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
290,Eragrostis tef,tef_kin_orr,1,0,False,34.9,2.1,7.1,0.2,89,2.1,640,68,1.46,1.11,1.87,0.203,0.00201,0.00264,0.00229,0.00201,0.00264,,,25,8,1,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
291,Erythrina flabelliformis,flabelliformis_kin_orr,1,0,False,18.4,1.9,3.6,0.1,96.4,1.9,665,185,1.36,0.611,2.2,0.196,0.00167,0.00257,0.00203,0.00167,0.00257,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
292,Euphorbia helioscopia,helioscopia_kin_orr,1,0,False,11.5,1.7,1.9,0.1,96.8,1.9,453,82,0.774,0.459,1.24,0.165,0.00129,0.00247,0.00171,0.00129,0.00247,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
293,Euphorbia microsphaera,microsphaera_kin_orr,1,0,False,25.8,2.7,4.5,0.2,99.7,0.7,546,124,0.959,0.523,1.5,0.175,0.00142,0.00224,0.00175,0.00142,0.00224,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
294,Festuca gigantea,gigantea_kin_orr,1,0,False,31.2,1.6,5.1,0.1,108,2.4,595,67,0.9,0.683,1.14,0.163,0.00135,0.00171,0.00151,0.00135,0.00171,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
295,Festuca pratensis,pratensis_kin_orr,1,0,False,23.1,2.5,5.1,0.2,106,1.1,686,89,1.43,1,2.01,0.221,0.0017,0.00267,0.00209,0.0017,0.00267,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
296,Flueggea suffruticosa,suffruticosa_kin_orr,1,0,False,19.2,1.5,3.4,0.1,101,1.5,547,97,0.958,0.612,1.35,0.177,0.0015,0.00209,0.00175,0.0015,0.00209,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
297,Foeniculum vulgare,vulgare_kin_orr,1,0,False,20.7,2.7,4.4,0.2,94.3,2.7,512,124,1.15,0.575,1.91,0.213,0.00175,0.00308,0.00226,0.00175,0.00308,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
298,Glycine canescens,glycine_canescens_kin_orr,1,0,False,17.2,0.9,2.6,0,97.1,1.7,587,1.6,0.914,0.825,1.02,0.151,0.0014,0.00174,0.00156,0.0014,0.00174,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
299,Glycine max,max_kin_hermida_carrera,1,0,False,8.6,0.2,1.5,0.1,97,1.1,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
300,Glycine max,max_kin_orr,1,0,False,13.2,2.4,2.5,0.1,99.6,0.5,660,193,1.25,0.505,2.4,0.19,0.00139,0.00297,0.00191,0.00139,0.00297,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
301,Hordeum brachyantherum,brachyantherum_kin_orr,1,0,False,16.2,1.5,2.9,0.1,101,2,371,59,0.654,0.43,0.925,0.179,0.00147,0.00219,0.00177,0.00147,0.00219,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
302,Hordeum murinum,murinum_kin_orr,1,0,False,21.5,1.1,4.2,0.1,100,1.1,511,55,0.996,0.769,1.25,0.195,0.00175,0.00219,0.00195,0.00175,0.00219,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
303,Hordeum vulgare ssp. vulgare cv. Morex,vulgare_hermida_carrera,1,0,False,9,0.6,2.4,0.2,99.2,3.8,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
304,Ipomoea batatas,batatas_kin_hermida_carrera,1,0,False,12,0.7,2.5,0.1,98.5,6.6,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
305,Lablab purpureus,purpureus_kin_orr,1,0,False,21.7,1.6,5.3,0.1,91.1,1.7,556,50,1.49,1.18,1.87,0.244,0.00232,0.00315,0.00268,0.00232,0.00315,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
306,Lactua sativa,lactua_sativa,1,0,False,11.1,0.3,2.2,0.1,94,1.9,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
307,Lepidium campestre,campestre_kin_orr,1,0,False,15.8,1,3.4,0.1,92.8,1.2,336,36,0.779,0.594,0.992,0.215,0.00202,0.0027,0.00232,0.00202,0.0027,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
308,Lolium multiflorum,multiflorum_kin_orr,1,0,False,29.1,2.1,4.5,0.1,99.9,1.8,740,115,1.14,0.777,1.57,0.155,0.00134,0.00183,0.00155,0.00134,0.00183,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
309,Lolium rigidum,rigidum_kin_orr,1,0,False,25,1.7,4.7,0.1,100,1.4,520,68,0.974,0.7,1.28,0.188,0.00164,0.00218,0.00187,0.00164,0.00218,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
310,Macrotyloma uniflorum,uniflorum_kin_orr,1,0,False,25.2,3.3,4.4,0.2,101,2.4,519,72,0.899,0.597,1.33,0.175,0.00135,0.00236,0.00173,0.00135,0.00236,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
311,Manihot esculenta,esculenta_kin_hermida_carrera,1,0,False,6.1,0.2,1.4,0.1,101,0.9,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
312,Manihot esculenta,esculenta_kin_orr,1,0,False,15,1.4,2.4,0.1,105,1.8,566,78,0.859,0.592,1.19,0.16,0.00126,0.00189,0.00152,0.00126,0.00189,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
313,Medicago sativa,medicago_sativa_kin_hermida_carrera,1,0,False,9.7,1.6,1.7,0.1,95.6,2.2,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
314,Mercurialis annua,annua_kin_orr,1,0,False,17,3.7,3.4,0.2,95.7,2.7,417,101,0.864,0.416,1.74,0.2,0.00143,0.00368,0.00209,0.00143,0.00368,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
315,Musa velutina,velutina_kin_orr,1,0,False,19,1.9,3.2,0.1,111,1.8,564,136,0.852,0.438,1.33,0.168,0.00125,0.00191,0.00151,0.00125,0.00191,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
316,Nicotiana tabacum cv. PH,tabacum_cv_PH_kin_orr,1,0,False,21.2,2.8,4.4,0.2,96.4,1.7,452,118,0.973,0.453,1.63,0.207,0.00167,0.00292,0.00215,0.00167,0.00292,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
317,Oryza barthii/glaberrima,barthii_glaberrima_kin_orr,1,0,False,14,0.8,2.5,0,107,1.5,479,63,0.798,0.584,1.04,0.178,0.0015,0.00188,0.00167,0.0015,0.00188,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
318,Oryza eichingeri,eichingeri_kin_orr,1,0,False,14.1,1.5,2.5,0.1,107,1.2,612,180,1.01,0.422,1.72,0.177,0.00134,0.00211,0.00165,0.00134,0.00211,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
319,Oryza glaberrima (WAB 1939),glaberrimaWAB1939_kin_orr,1,0,False,14.9,0.6,2.7,0,105,1.1,586,65,1.02,0.791,1.26,0.181,0.0016,0.00188,0.00173,0.0016,0.00188,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
320,Oryza glumaepatula,glumaepatula_kin_orr,1,0,False,15.2,1.5,2.4,0.1,109,0.7,484,110,0.702,0.384,1.1,0.158,0.00119,0.00183,0.00145,0.00119,0.00183,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
321,Oryza longistaminata,longistaminata_kin_orr,1,0,False,15.1,1.1,2.2,0,108,1.3,757,175,1.02,0.558,1.54,0.146,0.00118,0.00158,0.00135,0.00118,0.00158,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
322,Oryza meridionalis,meridionalis_kin_orr,1,0,False,14.6,0.9,2.6,0,107,1.3,382,47,0.638,0.471,0.82,0.178,0.00148,0.0019,0.00167,0.00148,0.0019,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
323,Oryza nivara,nivara_kin_orr,1,0,False,15.6,1,2.7,0,107,0.6,611,100,0.989,0.668,1.35,0.173,0.00144,0.00185,0.00162,0.00144,0.00185,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
324,Oryza punctata,punctata_kin_orr,1,0,False,14.9,2.2,2.7,0.1,109,1.2,342,89,0.57,0.271,0.97,0.182,0.00128,0.00234,0.00167,0.00128,0.00234,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
325,Oryza sativa,oryza_sativa_kin_hermida_carrera,1,0,False,8,0.4,2.1,0.3,93.1,1.2,,,,,,,,,,,,,,25,8,1,C3 plants,"KC and kcat at pH 8, S and pH 8.2",Hermida-Carrera 2016,27329223,"Hermida-Carrera C, Kapralov MV, Galmes J. 2016. Rubisco catalytic properties and temperature response in crops. Plant Physiology, doi: 10.1104/pp.16.01846."
326,Oryza sativa ssp.Indicacv.Icasulum,sativa_indica_kin_orr,1,0,False,7,1.6,2.2,0.1,101,2,269,65,0.838,0.399,1.68,0.315,0.00212,0.00569,0.00311,0.00212,0.00569,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
327,Oryza sativa ssp.Japonicacv.Nipponbare,sativa_japoinca_kin_orr,1,0,False,11.8,1.8,2.8,0.1,106,1.4,469,88,1.05,0.621,1.7,0.238,0.00171,0.00322,0.00225,0.00171,0.00322,,,25,8,1,C3 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
328,Panicum amarum,amarum_kin_orr,1,0,False,33.1,3.9,3.2,0.1,89.5,3,800,230,0.861,0.368,1.47,0.0965,0.000859,0.00143,0.00108,0.000859,0.00143,,,25,8,1,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
329,Panicum dichotomiflorum,dichotomiflorum_kin_orr,1,0,False,36.3,2.9,3.1,0.1,92.6,1.8,1535,545,1.42,0.434,2.49,0.0855,0.000785,0.00111,0.000924,0.000785,0.00111,,,25,8,1,C4 plants,"Points to Prins JExpB 2016 for methods. Extracted pH and pKa from there. S measured at pH 8.2, rest measured at 8.0. Not sure why. ",Orr 2016,27342312,"Orr, D. J., Alcântara, A., Kapralov, M. V., Andralojc, P. J., Carmo-Silva, E., and Parry, M. A. J. (2016). Surveying Rubisco Diversity and Temperature Response to Improve Crop Photosynthetic Efficiency. Plant Physiol. 172, 707–717."
